S.N,Building.Project.Name,StreetName,Postal.District,Type,No..of.Bedroom,Monthly.Gross.Rent...,Floor.Area..sq.ft.,Mean.Floor.Area..sq.ft.,Category,Date,lon,lat,address
144,THE DEW,BUKIT BA+K STREET 21,23,Executive Condominium,3,2500,1300 to 1400,1350,NA,19-Aug,103.7533512,1.3464976,"bukit batok street 21, singapore"
145,THE DEW,BUKIT BA+K STREET 21,23,Executive Condominium,3,2500,1200 to 1300,1250,NA,19-Aug,103.7533512,1.3464976,"bukit batok street 21, singapore"
146,YEW MEI GREEN,CHOA CHU KANG NORTH 6,23,Executive Condominium,3,2600,1200 to 1300,1250,NA,19-Aug,103.747497,1.3963258,"choa chu kang north 6, singapore"
147,THE DEW,BUKIT BA+K STREET 21,23,Executive Condominium,3,2700,1300 to 1400,1350,NA,19-Aug,103.7533512,1.3464976,"bukit batok street 21, singapore"
148,WINDERMERE,CHOA CHU KANG STREET 64,23,Executive Condominium,3,2400,1400 to 1500,1450,NA,19-Aug,103.750071,1.397576,"choa chu kang street 64, singapore"
149,WINDERMERE,CHOA CHU KANG STREET 64,23,Executive Condominium,3,2600,1200 to 1300,1250,NA,19-Aug,103.750071,1.397576,"choa chu kang street 64, singapore"
150,THE DEW,BUKIT BA+K STREET 21,23,Executive Condominium,3,2000,1300 to 1400,1350,NA,19-Aug,103.7533512,1.3464976,"bukit batok street 21, singapore"
151,CHESTERVALE,BANGKIT ROAD,23,Executive Condominium,3,2450,1400 to 1500,1450,NA,19-Aug,103.7741527,1.3776889,"bangkit rd, singapore"
152,THE QUINTET,CHOA CHU KANG STREET 64,23,Executive Condominium,3,2200,1200 to 1300,1250,NA,19-Aug,103.750071,1.397576,"choa chu kang street 64, singapore"
153,YEW MEI GREEN,CHOA CHU KANG NORTH 6,23,Executive Condominium,3,2550,1300 to 1400,1350,NA,19-Aug,103.747497,1.3963258,"choa chu kang north 6, singapore"
154,YEW MEI GREEN,CHOA CHU KANG NORTH 6,23,Executive Condominium,3,2500,1200 to 1300,1250,NA,19-Aug,103.747497,1.3963258,"choa chu kang north 6, singapore"
155,YEW MEI GREEN,CHOA CHU KANG NORTH 6,23,Executive Condominium,3,2400,1200 to 1300,1250,NA,19-Aug,103.747497,1.3963258,"choa chu kang north 6, singapore"
156,NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,2480,1200 to 1300,1250,NA,19-Aug,103.8024146,1.4468524,"woodlands cres, singapore"
