Name,Postal District,"25th percentile
Percentile",Median,"75th percentile
Percentile",Number
THE MINTON,19,26.73,28.16,29.67,45
THE MONTANA,10,37.87,41.35,45.08,11
THE NAUTICAL,27,27.55,33.97,39.02,16
THE NEXUS,21,35.09,38.17,39.76,11
THE OCEANFRONT @ SENTOSA COVE,4,34.45,38.31,40.71,25
THE ORCHARD RESIDENCES,9,56.58,59.95,71.15,16
THE PALETTE,18,25.25,27.49,30.88,50
THE PANORAMA,20,31.91,34.92,45,33
THE PARC CONDO,5,29.55,31.91,34.17,36
THE PEAK@BALMEG,5,30.71,32.52,35.71,19
THE PETALS,23,22.81,24.45,25.74,10
THE PIER AT ROBERTSON,9,64.86,66.07,67.86,37
THE PLAZA,7,33.96,39.72,41.21,14
THE POIZ RESIDENCES,13,45,50,53.4,94
THE PROMENADE@PELIKAT,19,28.47,34.44,38.89,18
THE QUARTZ,19,23.85,25.25,26.77,17
THE QUINN,19,32.53,38.46,42.11,12
THE REGALIA,9,33.33,34.84,35.45,14
THE REGENCY AT TIONG BAHRU,3,42.76,44.96,46.22,15
"THE RESIDENCES AT W SINGAPORE
SENTOSA COVE",4,44.75,47.24,48.7,22
THE RISE @ OXLEY - RESIDENCES,9,53.33,56.99,59.65,14
THE RIVERWALK,1,36.26,38.17,40.3,11
THE ROCHESTER RESIDENCES,5,38.27,40.51,44.64,55
THE SAIL @ MARINA BAY,1,48.19,54.69,60.98,183
THE SANTORINI,18,31.88,36.73,39.53,15
THE SCALA,19,35.44,38.1,47.73,39
THE SCOTTS TOWER,9,53.16,58.1,74.56,34
THE SEA VIEW,15,34.81,36.64,39.16,40
THE SEAFRONT ON MEYER,15,32.33,34.34,35.57,29
THE SEAWIND,15,36.48,38.98,40.98,25
THE SHORE RESIDENCES,15,40.12,42.43,44.71,46
THE SIXTH AVENUE RESIDENCES,10,29.22,36.51,37.5,14
THE SKYWOODS,23,30.68,32.1,36.36,11
THE SORRENTO,5,45.12,49.42,53.54,12
THE SOUND,15,35.71,38.88,41.4,11
THE STELLAR,5,28.69,29.82,35.71,10
THE STERLING,21,29.17,29.82,31.47,10
THE SUITES AT CENTRAL,9,50.75,54.79,60,31
THE SUNNY SPRING,14,26.96,27.79,29.47,34
THE TANAMERA,16,21.35,22.73,24.43,18
THE TEMBUSU,19,33.57,35.71,40,50
THE TENNERY,23,29.89,33.33,35.09,53
THE TESSARINA,10,31.72,32.91,34.68,24
THE TRILINQ,5,41.59,45.67,48,28
THE TRILLIUM,9,40,43.61,46.15,18
THE TRIZON,10,36.1,37.26,39.14,24
THE TRUMPS,14,30.08,36.51,38.79,13
THE VERMONT ON CAIRNHILL,9,45.13,46.66,57.39,12
THE VERVE,12,32.14,37.5,42.68,11
THE VIRIDIAN,12,35.24,43.77,44.9,16
THE VISION,5,33.33,35.71,38.16,39
THE WARREN,23,24.55,25.56,26.42,25
THE WATERINA,14,30.33,31.93,34.03,25
THE WATERSIDE,15,25.89,27.14,28.25,35
THE WHARF RESIDENCE,9,49.62,53,57.29,21
THE WISTERIA,27,29.66,33.62,35.29,18
THOMSON 800,11,25,26.82,28.48,10
THOMSON EURO-ASIA,11,37.75,39.31,42.69,12
THOMSON GRAND,20,26.12,26.68,27.46,24
THOMSON IMPRESSIONS,20,35.21,38.15,42.65,22
THOMSON THREE,20,30.93,33.82,38.04,31
THOMSON VIEW CONDO,20,19.29,19.73,20.63,14
TIARA,9,33.61,37.14,39.76,21
TIONG BAHRU ESTATE,3,28.83,34.09,42.14,55
TRE RESIDENCES,14,45.57,49.53,53.85,10
TREE HOUSE,23,24.78,25.58,27.97,16
TRELLIS TOWERS,12,30.19,36.36,39.22,27
TRESALVEO,20,31.18,34.61,37.5,14
TREVISTA,12,34.88,37.5,40,39
TREVOSE PARK,11,28.13,31.59,34.41,12
TRIBECA,9,36.59,40.63,54.17,27
TRILIGHT,11,38.9,41.47,43.69,28
TRILIVE,19,29.88,37.2,41.33,18
TROPIKA EAST,14,29.94,39.02,40.63,12
TWIN REGENCY,3,48.5,51.2,53.54,16
UE SQUARE,9,32.3,35.96,41.49,35
URBAN SUITES,9,49.47,52.08,57.05,17
URBAN VISTA,16,33.78,39.22,43.14,59
URBANA,9,48.67,51.14,55.05,20
V ON SHENTON,1,53.62,59.69,65.85,61
VACANZA @ EAST,14,28.86,30,34.62,38
