S/N,Building/Project Name,StreetName,Postal District,Type,No. of Bedroom,Monthly Gross Rent($),Floor Area (sq ft),Mean Floor Area (sq ft),Category,Date
128,YEW MEI GREEN,CHOA CHU KANG NORTH 6,23,Executive Condominium,3,2400,1200 to 1300,1250,,19-Aug
129,THE DEW,BUKIT BA+K STREET 21,23,Executive Condominium,3,2300,1200 to 1300,1250,,19-Aug
130,THE DEW,BUKIT BA+K STREET 21,23,Executive Condominium,3,2500,1300 to 1400,1350,,19-Aug
131,THE DEW,BUKIT BA+K STREET 21,23,Executive Condominium,3,2500,1200 to 1300,1250,,19-Aug
132,YEW MEI GREEN,CHOA CHU KANG NORTH 6,23,Executive Condominium,3,2600,1200 to 1300,1250,,19-Aug
133,THE DEW,BUKIT BA+K STREET 21,23,Executive Condominium,3,2700,1300 to 1400,1350,,19-Aug
134,WINDERMERE,CHOA CHU KANG STREET 64,23,Executive Condominium,3,2400,1400 to 1500,1450,,19-Aug
135,WINDERMERE,CHOA CHU KANG STREET 64,23,Executive Condominium,3,2600,1200 to 1300,1250,,19-Aug
136,THE DEW,BUKIT BA+K STREET 21,23,Executive Condominium,3,2000,1300 to 1400,1350,,19-Aug
137,CHESTERVALE,BANGKIT ROAD,23,Executive Condominium,3,2450,1400 to 1500,1450,,19-Aug
138,THE QUINTET,CHOA CHU KANG STREET 64,23,Executive Condominium,3,2200,1200 to 1300,1250,,19-Aug
139,YEW MEI GREEN,CHOA CHU KANG NORTH 6,23,Executive Condominium,3,2550,1300 to 1400,1350,,19-Aug
140,YEW MEI GREEN,CHOA CHU KANG NORTH 6,23,Executive Condominium,3,2500,1200 to 1300,1250,,19-Aug
141,YEW MEI GREEN,CHOA CHU KANG NORTH 6,23,Executive Condominium,3,2400,1200 to 1300,1250,,19-Aug
142,YEW MEI GREEN,CHOA CHU KANG NORTH 6,23,Executive Condominium,3,2400,1200 to 1300,1250,,19-Aug
143,THE DEW,BUKIT BA+K STREET 21,23,Executive Condominium,3,2300,1200 to 1300,1250,,19-Aug
144,THE DEW,BUKIT BA+K STREET 21,23,Executive Condominium,3,2500,1300 to 1400,1350,,19-Aug
145,THE DEW,BUKIT BA+K STREET 21,23,Executive Condominium,3,2500,1200 to 1300,1250,,19-Aug
146,YEW MEI GREEN,CHOA CHU KANG NORTH 6,23,Executive Condominium,3,2600,1200 to 1300,1250,,19-Aug
147,THE DEW,BUKIT BA+K STREET 21,23,Executive Condominium,3,2700,1300 to 1400,1350,,19-Aug
148,WINDERMERE,CHOA CHU KANG STREET 64,23,Executive Condominium,3,2400,1400 to 1500,1450,,19-Aug
149,WINDERMERE,CHOA CHU KANG STREET 64,23,Executive Condominium,3,2600,1200 to 1300,1250,,19-Aug
150,THE DEW,BUKIT BA+K STREET 21,23,Executive Condominium,3,2000,1300 to 1400,1350,,19-Aug
151,CHESTERVALE,BANGKIT ROAD,23,Executive Condominium,3,2450,1400 to 1500,1450,,19-Aug
152,THE QUINTET,CHOA CHU KANG STREET 64,23,Executive Condominium,3,2200,1200 to 1300,1250,,19-Aug
153,YEW MEI GREEN,CHOA CHU KANG NORTH 6,23,Executive Condominium,3,2550,1300 to 1400,1350,,19-Aug
154,YEW MEI GREEN,CHOA CHU KANG NORTH 6,23,Executive Condominium,3,2500,1200 to 1300,1250,,19-Aug
155,YEW MEI GREEN,CHOA CHU KANG NORTH 6,23,Executive Condominium,3,2400,1200 to 1300,1250,,19-Aug
156,NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,2480,1200 to 1300,1250,,19-Aug
157,NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,2250,1200 to 1300,1250,,19-Aug
158,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2400,1200 to 1300,1250,,19-Aug
159,NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,2400,1200 to 1300,1250,,19-Aug
160,NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,2100,1200 to 1300,1250,,19-Aug
161,FORESTVILLE,WOODLANDS DRIVE 16,25,Executive Condominium,4,1250,1300 to 1400,1350,,19-Aug
162,FORESTVILLE,WOODLANDS DRIVE 16,25,Executive Condominium,4,1300,1400 to 1500,1450,,19-Aug
163,LA CASA,WOODLANDS DRIVE 16,25,Executive Condominium,3,2300,1100 to 1200,1150,,19-Aug
164,LA CASA,WOODLANDS DRIVE 16,25,Executive Condominium,3,2400,1100 to 1200,1150,,19-Aug
165,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2400,1200 to 1300,1250,,19-Aug
166,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2600,1300 to 1400,1350,,19-Aug
167,LA CASA,WOODLANDS DRIVE 16,25,Executive Condominium,2,2000,900 to 1000,950,,19-Aug
168,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2500,1200 to 1300,1250,,19-Aug
169,NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,2300,1200 to 1300,1250,,19-Aug
170,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2450,1200 to 1300,1250,,19-Aug
171,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2400,1200 to 1300,1250,,19-Aug
172,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2500,1200 to 1300,1250,,19-Aug
173,NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,2200,1200 to 1300,1250,,19-Aug
174,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2300,1300 to 1400,1350,,19-Aug
175,NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,2500,1200 to 1300,1250,,19-Aug
176,NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,2400,1200 to 1300,1250,,19-Aug
177,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2300,1300 to 1400,1350,,19-Aug
178,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2300,1300 to 1400,1350,,19-Aug
179,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2500,1200 to 1300,1250,,19-Aug
180,NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,2400,1200 to 1300,1250,,19-Aug
181,TWIN FOUNTAINS,WOODLANDS AVENUE 6,25,Executive Condominium,3,2250,1000 to 1100,1050,,19-Aug
182,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2500,1200 to 1300,1250,,19-Aug
183,NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,2300,1200 to 1300,1250,,19-Aug
184,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2550,1300 to 1400,1350,,19-Aug
185,NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,2480,1200 to 1300,1250,,19-Aug
186,NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,2250,1200 to 1300,1250,,19-Aug
